1,1,1,748374,57527,2966,15954
2,2,1,2418783,97185,6146,12703
3,3,1,3191434,146033,5339,8181
4,4,1,343168,10172,666,2146
5,5,1,2095731,132235,1989,17518
6,6,1,119180,9763,511,1434
7,7,1,2103417,15993,2445,1970
8,8,1,817732,23663,778,3432
9,9,1,826059,3543,119,340
10,10,1,256426,12654,1363,2368
11,11,1,81377,655,25,177
12,12,1,104578,1576,303,1279
13,13,1,687582,114188,1333,8371
14,14,1,544770,7848,1171,3981
15,15,1,207532,7473,246,2120
16,16,1,75752,9419,52,1230
17,17,1,295639,8011,638,1256
18,18,1,78044,5398,53,385
19,19,1,97007,11963,36,2211
20,20,1,223871,8421,191,1214
21,21,1,115791,9586,75,2800
22,22,1,224019,3585,138,208
23,23,1,144418,11758,89,1014
24,24,1,145921,1707,578,673
25,25,1,33980,4884,52,234
26,26,1,223077,8676,193,1392
27,27,1,80705,4687,41,437
28,28,1,120727,9033,224,1346
29,29,1,27943,156,36,83
30,30,1,50867,715,238,246
31,31,1,98378,4035,495,486
32,32,1,26000,119,69,0
33,33,1,17158531,787419,43420,125882
34,34,1,67661,3781,84,626
35,35,1,141148,1661,70,236
36,36,1,98966,2486,184,532
37,37,1,288922,7515,792,2111
38,38,1,13917,1318,24,76
39,39,1,605932,38397,1387,3412
40,40,1,57169,6927,161,565
41,41,1,60506,5389,106,455
42,42,1,34785,308,26,413
43,43,1,945,7,5,8
44,44,1,328330,15186,15448,7484
45,45,1,321053,4451,1772,895
46,46,1,1456472,33505,1660,2160
47,47,1,69844,3417,33,160
48,48,1,956169,2017,2425,1447
49,49,1,4569,35,18,19
50,50,1,2045386,45406,2842,8309
51,51,1,1842393,99086,1339,11800
52,52,1,6473,205,6,15
53,53,1,1044813,15397,838,1100
54,54,1,9548677,190083,15015,11473
55,55,1,197062,7250,217,456
56,56,1,1496225,16116,236,605
57,57,1,162597,5734,106,525
58,58,1,9132,21,8,64
59,59,1,7265,89,8,22
60,60,1,291597,8209,344,1062
61,61,1,290801,10237,377,1016
62,62,1,5304,52,13,68
63,63,1,812516,26917,1979,4998
